Area Name,Sex,Age group,Life expectancy (years) ,Lower confidence interval,upper CI,Countries
East Dunbartonshire,Male,05 to 09,75.06,74.45,75.67,Scotland
East Dunbartonshire,Male,10 to 14,70.06,69.45,70.67,Scotland
East Dunbartonshire,Male,15 to 19,65.06,64.45,65.67,Scotland
East Dunbartonshire,Male,20 to 24,60.26,59.67,60.86,Scotland
East Dunbartonshire,Male,25 to 29,55.49,54.92,56.06,Scotland
East Dunbartonshire,Male,30 to 34,50.7,50.15,51.25,Scotland
East Dunbartonshire,Male,35 to 39,46.07,45.55,46.59,Scotland
East Dunbartonshire,Male,40 to 44,41.32,40.82,41.82,Scotland
East Dunbartonshire,Male,45 to 49,36.58,36.11,37.06,Scotland
East Dunbartonshire,Male,50 to 54,32.06,31.61,32.51,Scotland
East Dunbartonshire,Male,55 to 59,27.57,27.15,28,Scotland
East Dunbartonshire,Male,60 to 64,23.27,22.86,23.67,Scotland
East Dunbartonshire,Male,65 to 69,19.01,18.63,19.39,Scotland
East Dunbartonshire,Male,70 to 74,14.93,14.57,15.29,Scotland
East Dunbartonshire,Male,75 to 79,11.32,10.97,11.66,Scotland
East Dunbartonshire,Male,80 to 84,8.34,8.02,8.67,Scotland
East Dunbartonshire,Male,85 to 89,5.86,5.53,6.18,Scotland
East Dunbartonshire,Male,90+,3.98,3.53,4.42,Scotland
Glasgow City,Male,<1,72.95,72.67,73.22,Scotland
Glasgow City,Male,01 to 04,72.21,71.95,72.48,Scotland
Glasgow City,Male,05 to 09,68.25,67.99,68.51,Scotland
Glasgow City,Male,10 to 14,63.26,63,63.52,Scotland
Glasgow City,Male,15 to 19,58.3,58.04,58.55,Scotland
Glasgow City,Male,20 to 24,53.41,53.15,53.66,Scotland
Glasgow City,Male,25 to 29,48.56,48.31,48.81,Scotland
Glasgow City,Male,30 to 34,43.72,43.47,43.97,Scotland
Glasgow City,Male,35 to 39,39.01,38.76,39.25,Scotland
Glasgow City,Male,40 to 44,34.39,34.15,34.64,Scotland
Glasgow City,Male,45 to 49,30.01,29.78,30.25,Scotland
Glasgow City,Male,50 to 54,25.99,25.77,26.21,Scotland
Glasgow City,Male,55 to 59,22.2,22,22.41,Scotland
Glasgow City,Male,60 to 64,18.52,18.33,18.72,Scotland
Glasgow City,Male,65 to 69,15.16,14.97,15.35,Scotland
Glasgow City,Male,70 to 74,12.07,11.89,12.25,Scotland
Glasgow City,Male,75 to 79,9.31,9.13,9.49,Scotland
Glasgow City,Male,80 to 84,7.1,6.92,7.28,Scotland
Glasgow City,Male,85 to 89,5.42,5.22,5.62,Scotland
Glasgow City,Male,90+,4.27,3.96,4.57,Scotland
Na h-Eileanan Siar,Male,<1,77.28,75.92,78.64,Scotland
Na h-Eileanan Siar,Male,01 to 04,76.55,75.3,77.81,Scotland
Na h-Eileanan Siar,Male,05 to 09,72.55,71.3,73.81,Scotland
Na h-Eileanan Siar,Male,10 to 14,67.55,66.3,68.81,Scotland
Na h-Eileanan Siar,Male,15 to 19,62.55,61.3,63.81,Scotland
Na h-Eileanan Siar,Male,20 to 24,57.55,56.3,58.81,Scotland
Na h-Eileanan Siar,Male,25 to 29,52.72,51.51,53.93,Scotland
Na h-Eileanan Siar,Male,30 to 34,48.16,47.04,49.27,Scotland
Na h-Eileanan Siar,Male,35 to 39,43.51,42.46,44.56,Scotland
Na h-Eileanan Siar,Male,40 to 44,38.94,37.96,39.91,Scotland
Na h-Eileanan Siar,Male,45 to 49,34.11,33.15,35.06,Scotland
Na h-Eileanan Siar,Male,50 to 54,29.6,28.7,30.51,Scotland
Na h-Eileanan Siar,Male,55 to 59,25.36,24.5,26.21,Scotland
Na h-Eileanan Siar,Male,60 to 64,21.38,20.58,22.19,Scotland
Na h-Eileanan Siar,Male,65 to 69,17.53,16.76,18.29,Scotland
Na h-Eileanan Siar,Male,70 to 74,14.01,13.28,14.74,Scotland
Na h-Eileanan Siar,Male,75 to 79,11.25,10.52,11.97,Scotland
Na h-Eileanan Siar,Male,80 to 84,8.51,7.78,9.24,Scotland
Na h-Eileanan Siar,Male,85 to 89,6.29,5.45,7.13,Scotland
Na h-Eileanan Siar,Male,90+,5.22,3.99,6.45,Scotland
Renfrewshire,Male,<1,75.56,75.05,76.07,Scotland
Renfrewshire,Male,01 to 04,74.77,74.29,75.26,Scotland
Renfrewshire,Male,05 to 09,70.77,70.29,71.26,Scotland
Renfrewshire,Male,10 to 14,65.84,65.36,66.32,Scotland
Renfrewshire,Male,15 to 19,60.89,60.41,61.36,Scotland
Renfrewshire,Male,20 to 24,55.91,55.43,56.38,Scotland
Renfrewshire,Male,25 to 29,51.13,50.67,51.59,Scotland
Renfrewshire,Male,30 to 34,46.36,45.91,46.81,Scotland
Renfrewshire,Male,35 to 39,41.73,41.29,42.16,Scotland
Renfrewshire,Male,40 to 44,37.18,36.76,37.59,Scotland
Renfrewshire,Male,45 to 49,32.8,32.41,33.19,Scotland
Renfrewshire,Male,50 to 54,28.51,28.15,28.87,Scotland
Renfrewshire,Male,55 to 59,24.4,24.05,24.74,Scotland
Renfrewshire,Male,60 to 64,20.33,20.01,20.65,Scotland
Renfrewshire,Male,65 to 69,16.5,16.19,16.81,Scotland
Renfrewshire,Male,70 to 74,13.07,12.78,13.36,Scotland
Renfrewshire,Male,75 to 79,9.97,9.69,10.24,Scotland
Renfrewshire,Male,80 to 84,7.33,7.06,7.6,Scotland
Renfrewshire,Male,85 to 89,5.49,5.19,5.79,Scotland
Renfrewshire,Male,90+,4.31,3.85,4.77,Scotland
Stirling,Male,<1,77.7,76.95,78.44,Scotland
Stirling,Male,01 to 04,76.97,76.27,77.67,Scotland
Stirling,Male,05 to 09,73.03,72.34,73.72,Scotland
Stirling,Male,10 to 14,68.03,67.34,68.72,Scotland
Stirling,Male,15 to 19,63.07,62.39,63.75,Scotland
Stirling,Male,20 to 24,58.21,57.54,58.88,Scotland
Stirling,Male,25 to 29,53.58,52.94,54.23,Scotland
Stirling,Male,30 to 34,48.9,48.28,49.52,Scotland
Stirling,Male,35 to 39,44.22,43.62,44.82,Scotland
Stirling,Male,40 to 44,39.47,38.89,40.05,Scotland
Stirling,Male,45 to 49,35,34.45,35.54,Scotland
Stirling,Male,50 to 54,30.54,30.03,31.06,Scotland
Stirling,Male,55 to 59,26.35,25.87,26.84,Scotland
Stirling,Male,60 to 64,22.27,21.81,22.72,Scotland
Stirling,Male,65 to 69,18.3,17.87,18.73,Scotland
Stirling,Male,70 to 74,14.42,14.02,14.82,Scotland
Stirling,Male,75 to 79,10.88,10.5,11.27,Scotland
Stirling,Male,80 to 84,7.91,7.53,8.28,Scotland
Stirling,Male,85 to 89,5.55,5.14,5.95,Scotland
Stirling,Male,90+,4.07,3.45,4.69,Scotland
Aberdeen City,Male,<1,76.95,76.48,77.41,Scotland
Aberdeen City,Male,01 to 04,76.31,75.87,76.74,Scotland
Aberdeen City,Male,05 to 09,72.35,71.92,72.78,Scotland
Aberdeen City,Male,10 to 14,67.39,66.96,67.81,Scotland
Aberdeen City,Male,15 to 19,62.45,62.03,62.86,Scotland
Aberdeen City,Male,20 to 24,57.52,57.11,57.94,Scotland
Aberdeen City,Male,25 to 29,52.7,52.29,53.1,Scotland
Aberdeen City,Male,30 to 34,47.84,47.44,48.24,Scotland
Aberdeen City,Male,35 to 39,43.01,42.61,43.41,Scotland
Aberdeen City,Male,40 to 44,38.36,37.97,38.75,Scotland
Aberdeen City,Male,45 to 49,33.89,33.51,34.26,Scotland
Aberdeen City,Male,50 to 54,29.54,29.19,29.9,Scotland
Aberdeen City,Male,55 to 59,25.26,24.93,25.6,Scotland
Aberdeen City,Male,60 to 64,21.22,20.9,21.53,Scotland
Aberdeen City,Male,65 to 69,17.38,17.08,17.68,Scotland
Aberdeen City,Male,70 to 74,13.77,13.48,14.05,Scotland
Aberdeen City,Male,75 to 79,10.45,10.17,10.72,Scotland
Aberdeen City,Male,80 to 84,7.66,7.4,7.92,Scotland
Aberdeen City,Male,85 to 89,5.37,5.1,5.63,Scotland
Aberdeen City,Male,90+,3.89,3.51,4.28,Scotland
Clackmannanshire,Male,<1,75.69,74.7,76.69,Scotland
Clackmannanshire,Male,01 to 04,74.8,73.83,75.77,Scotland
Clackmannanshire,Male,05 to 09,70.8,69.83,71.77,Scotland
Clackmannanshire,Male,10 to 14,65.8,64.83,66.77,Scotland
Clackmannanshire,Male,15 to 19,60.8,59.83,61.77,Scotland
Clackmannanshire,Male,20 to 24,56.01,55.06,56.95,Scotland
Clackmannanshire,Male,25 to 29,51.19,50.26,52.12,Scotland
Clackmannanshire,Male,30 to 34,46.51,45.61,47.41,Scotland
Clackmannanshire,Male,35 to 39,41.89,41.03,42.75,Scotland
Clackmannanshire,Male,40 to 44,37.82,37.04,38.6,Scotland
Clackmannanshire,Male,45 to 49,33.51,32.79,34.23,Scotland
Clackmannanshire,Male,50 to 54,29.23,28.55,29.9,Scotland
Clackmannanshire,Male,55 to 59,24.85,24.2,25.5,Scotland
Clackmannanshire,Male,60 to 64,20.7,20.08,21.33,Scotland
Clackmannanshire,Male,65 to 69,17.02,16.44,17.61,Scotland
Clackmannanshire,Male,70 to 74,13.65,13.1,14.21,Scotland
Clackmannanshire,Male,75 to 79,10.55,10,11.1,Scotland
Clackmannanshire,Male,80 to 84,7.84,7.27,8.41,Scotland
Clackmannanshire,Male,85 to 89,6.15,5.48,6.82,Scotland
Clackmannanshire,Male,90+,4.71,3.75,5.68,Scotland
East Lothian,Male,<1,78.66,77.98,79.34,Scotland
East Lothian,Male,01 to 04,77.97,77.33,78.6,Scotland
East Lothian,Male,05 to 09,74.05,73.42,74.68,Scotland
East Lothian,Male,10 to 14,69.13,68.51,69.75,Scotland
East Lothian,Male,15 to 19,64.16,63.54,64.78,Scotland
East Lothian,Male,20 to 24,59.33,58.74,59.93,Scotland
East Lothian,Male,25 to 29,54.62,54.05,55.19,Scotland
East Lothian,Male,30 to 34,49.74,49.18,50.3,Scotland
East Lothian,Male,35 to 39,44.82,44.27,45.37,Scotland
East Lothian,Male,40 to 44,40.22,39.7,40.74,Scotland
East Lothian,Male,45 to 49,35.75,35.26,36.24,Scotland
East Lothian,Male,50 to 54,31.34,30.88,31.79,Scotland
East Lothian,Male,55 to 59,26.76,26.32,27.2,Scotland
East Lothian,Male,60 to 64,22.38,21.96,22.81,Scotland
East Lothian,Male,65 to 69,18.28,17.87,18.69,Scotland
East Lothian,Male,70 to 74,14.49,14.11,14.87,Scotland
East Lothian,Male,75 to 79,11.09,10.72,11.45,Scotland
East Lothian,Male,80 to 84,8.17,7.81,8.53,Scotland
East Lothian,Male,85 to 89,5.81,5.43,6.19,Scotland
East Lothian,Male,90+,4.1,3.57,4.63,Scotland
Highland,Male,<1,77.31,76.82,77.81,Scotland
Highland,Male,01 to 04,76.65,76.19,77.11,Scotland
Highland,Male,05 to 09,72.74,72.29,73.2,Scotland
Highland,Male,10 to 14,67.76,67.31,68.22,Scotland
Highland,Male,15 to 19,62.83,62.38,63.28,Scotland
Highland,Male,20 to 24,58.05,57.61,58.48,Scotland
Highland,Male,25 to 29,53.27,52.85,53.7,Scotland
Highland,Male,30 to 34,48.67,48.27,49.07,Scotland
Highland,Male,35 to 39,44.14,43.76,44.51,Scotland
Highland,Male,40 to 44,39.64,39.28,39.99,Scotland
Highland,Male,45 to 49,35.21,34.88,35.54,Scotland
Highland,Male,50 to 54,30.76,30.45,31.07,Scotland
Highland,Male,55 to 59,26.53,26.24,26.82,Scotland
Highland,Male,60 to 64,22.39,22.11,22.66,Scotland
Highland,Male,65 to 69,18.33,18.06,18.59,Scotland
Highland,Male,70 to 74,14.59,14.34,14.83,Scotland
Highland,Male,75 to 79,11.3,11.06,11.54,Scotland
Highland,Male,80 to 84,8.25,8.02,8.48,Scotland
Highland,Male,85 to 89,5.83,5.58,6.08,Scotland
Highland,Male,90+,4.23,3.88,4.59,Scotland
North Ayrshire,Male,<1,74.58,73.94,75.21,Scotland
North Ayrshire,Male,01 to 04,73.62,72.99,74.25,Scotland
North Ayrshire,Male,05 to 09,69.66,69.03,70.28,Scotland
North Ayrshire,Male,10 to 14,64.72,64.1,65.34,Scotland
North Ayrshire,Male,15 to 19,59.75,59.13,60.37,Scotland
North Ayrshire,Male,20 to 24,54.9,54.29,55.51,Scotland
North Ayrshire,Male,25 to 29,50.18,49.59,50.77,Scotland
North Ayrshire,Male,30 to 34,45.59,45.02,46.16,Scotland
North Ayrshire,Male,35 to 39,41.02,40.47,41.56,Scotland
North Ayrshire,Male,40 to 44,36.74,36.24,37.24,Scotland
North Ayrshire,Male,45 to 49,32.63,32.19,33.07,Scotland
North Ayrshire,Male,50 to 54,28.45,28.05,28.85,Scotland
North Ayrshire,Male,55 to 59,24.48,24.11,24.85,Scotland
North Ayrshire,Male,60 to 64,20.46,20.11,20.8,Scotland
North Ayrshire,Male,65 to 69,16.67,16.35,16.99,Scotland
North Ayrshire,Male,70 to 74,13.24,12.95,13.54,Scotland
North Ayrshire,Male,75 to 79,10.17,9.89,10.45,Scotland
North Ayrshire,Male,80 to 84,7.41,7.14,7.68,Scotland
North Ayrshire,Male,85 to 89,5.29,5.01,5.58,Scotland
North Ayrshire,Male,90+,3.45,3.06,3.84,Scotland
Scottish Borders,Male,<1,78.58,77.92,79.24,Scotland
Scottish Borders,Male,01 to 04,77.69,77.04,78.33,Scotland
Scottish Borders,Male,05 to 09,73.78,73.14,74.41,Scotland
Scottish Borders,Male,10 to 14,68.78,68.14,69.41,Scotland
Scottish Borders,Male,15 to 19,63.81,63.18,64.44,Scotland
Scottish Borders,Male,20 to 24,59.05,58.44,59.66,Scotland
Scottish Borders,Male,25 to 29,54.22,53.63,54.81,Scotland
Scottish Borders,Male,30 to 34,49.65,49.1,50.2,Scotland
Scottish Borders,Male,35 to 39,45.05,44.54,45.56,Scotland
Scottish Borders,Male,40 to 44,40.44,39.97,40.92,Scotland
Scottish Borders,Male,45 to 49,35.84,35.4,36.28,Scotland
Scottish Borders,Male,50 to 54,31.36,30.95,31.76,Scotland
Scottish Borders,Male,55 to 59,27.03,26.65,27.41,Scotland
Scottish Borders,Male,60 to 64,22.68,22.33,23.04,Scotland
Scottish Borders,Male,65 to 69,18.63,18.29,18.96,Scotland
Scottish Borders,Male,70 to 74,14.69,14.37,15,Scotland
Scottish Borders,Male,75 to 79,11.23,10.94,11.53,Scotland
Scottish Borders,Male,80 to 84,8.08,7.79,8.36,Scotland
Scottish Borders,Male,85 to 89,5.42,5.14,5.71,Scotland
Scottish Borders,Male,90+,3.37,3.01,3.73,Scotland
West Dunbartonshire,Male,<1,73.18,72.39,73.98,Scotland
West Dunbartonshire,Male,01 to 04,72.65,71.91,73.38,Scotland
West Dunbartonshire,Male,05 to 09,68.75,68.03,69.48,Scotland
West Dunbartonshire,Male,10 to 14,63.75,63.03,64.48,Scotland
West Dunbartonshire,Male,15 to 19,58.79,58.07,59.51,Scotland
West Dunbartonshire,Male,20 to 24,53.95,53.25,54.65,Scotland
West Dunbartonshire,Male,25 to 29,49.2,48.52,49.88,Scotland
West Dunbartonshire,Male,30 to 34,44.53,43.88,45.19,Scotland
West Dunbartonshire,Male,35 to 39,39.94,39.3,40.57,Scotland
West Dunbartonshire,Male,40 to 44,35.31,34.7,35.93,Scotland
West Dunbartonshire,Male,45 to 49,31,30.42,31.57,Scotland
West Dunbartonshire,Male,50 to 54,27.14,26.62,27.66,Scotland
West Dunbartonshire,Male,55 to 59,23.3,22.83,23.78,Scotland
West Dunbartonshire,Male,60 to 64,19.46,19.01,19.91,Scotland
West Dunbartonshire,Male,65 to 69,16.11,15.69,16.53,Scotland
West Dunbartonshire,Male,70 to 74,12.71,12.32,13.1,Scotland
West Dunbartonshire,Male,75 to 79,9.65,9.27,10.02,Scotland
West Dunbartonshire,Male,80 to 84,7.14,6.78,7.49,Scotland
West Dunbartonshire,Male,85 to 89,4.94,4.58,5.3,Scotland
West Dunbartonshire,Male,90+,3.31,2.79,3.83,Scotland
Aberdeenshire,Male,<1,78.81,78.37,79.24,Scotland
Aberdeenshire,Male,01 to 04,78.21,77.82,78.61,Scotland
Aberdeenshire,Male,05 to 09,74.23,73.83,74.63,Scotland
Aberdeenshire,Male,10 to 14,69.26,68.87,69.65,Scotland
Aberdeenshire,Male,15 to 19,64.31,63.92,64.7,Scotland
Aberdeenshire,Male,20 to 24,59.44,59.06,59.82,Scotland
Aberdeenshire,Male,25 to 29,54.63,54.26,55,Scotland
Aberdeenshire,Male,30 to 34,49.93,49.58,50.28,Scotland
Aberdeenshire,Male,35 to 39,45.24,44.91,45.58,Scotland
Aberdeenshire,Male,40 to 44,40.58,40.26,40.9,Scotland
Aberdeenshire,Male,45 to 49,35.91,35.6,36.22,Scotland
Aberdeenshire,Male,50 to 54,31.34,31.05,31.63,Scotland
Aberdeenshire,Male,55 to 59,26.81,26.53,27.09,Scotland
Aberdeenshire,Male,60 to 64,22.47,22.2,22.74,Scotland
Aberdeenshire,Male,65 to 69,18.4,18.14,18.66,Scotland
Aberdeenshire,Male,70 to 74,14.64,14.4,14.88,Scotland
Aberdeenshire,Male,75 to 79,11.12,10.89,11.35,Scotland
Aberdeenshire,Male,80 to 84,8.09,7.87,8.32,Scotland
Aberdeenshire,Male,85 to 89,5.61,5.38,5.84,Scotland
Aberdeenshire,Male,90+,3.78,3.46,4.1,Scotland
Dumfries and Galloway,Male,<1,77.06,76.46,77.66,Scotland
Dumfries and Galloway,Male,01 to 04,76.15,75.56,76.73,Scotland
Dumfries and Galloway,Male,05 to 09,72.34,71.78,72.9,Scotland
Dumfries and Galloway,Male,10 to 14,67.34,66.78,67.9,Scotland
Dumfries and Galloway,Male,15 to 19,62.34,61.78,62.9,Scotland
Dumfries and Galloway,Male,20 to 24,57.55,57.01,58.09,Scotland
Dumfries and Galloway,Male,25 to 29,52.75,52.22,53.28,Scotland
Dumfries and Galloway,Male,30 to 34,48.06,47.55,48.57,Scotland
Dumfries and Galloway,Male,35 to 39,43.46,42.98,43.93,Scotland
Dumfries and Galloway,Male,40 to 44,38.91,38.46,39.36,Scotland
Dumfries and Galloway,Male,45 to 49,34.63,34.23,35.03,Scotland
Dumfries and Galloway,Male,50 to 54,30.17,29.8,30.53,Scotland
Dumfries and Galloway,Male,55 to 59,25.92,25.58,26.26,Scotland
Dumfries and Galloway,Male,60 to 64,21.85,21.54,22.17,Scotland
Dumfries and Galloway,Male,65 to 69,17.84,17.55,18.14,Scotland
Dumfries and Galloway,Male,70 to 74,14.22,13.95,14.49,Scotland
Dumfries and Galloway,Male,75 to 79,10.89,10.63,11.15,Scotland
Dumfries and Galloway,Male,80 to 84,8.01,7.76,8.26,Scotland
Dumfries and Galloway,Male,85 to 89,5.54,5.28,5.8,Scotland
Dumfries and Galloway,Male,90+,3.93,3.56,4.31,Scotland
East Renfrewshire,Male,<1,79.94,79.27,80.6,Scotland
East Renfrewshire,Male,01 to 04,78.94,78.27,79.6,Scotland
East Renfrewshire,Male,05 to 09,75.03,74.38,75.69,Scotland
East Renfrewshire,Male,10 to 14,70.07,69.42,70.72,Scotland
East Renfrewshire,Male,15 to 19,65.13,64.49,65.78,Scotland
East Renfrewshire,Male,20 to 24,60.3,59.67,60.93,Scotland
East Renfrewshire,Male,25 to 29,55.45,54.83,56.07,Scotland
East Renfrewshire,Male,30 to 34,50.64,50.04,51.23,Scotland
East Renfrewshire,Male,35 to 39,45.78,45.2,46.36,Scotland
East Renfrewshire,Male,40 to 44,40.96,40.39,41.52,Scotland
East Renfrewshire,Male,45 to 49,36.31,35.77,36.86,Scotland
East Renfrewshire,Male,50 to 54,31.74,31.22,32.26,Scotland
East Renfrewshire,Male,55 to 59,27.32,26.82,27.82,Scotland
East Renfrewshire,Male,60 to 64,22.97,22.49,23.45,Scotland
East Renfrewshire,Male,65 to 69,18.91,18.45,19.36,Scotland
East Renfrewshire,Male,70 to 74,15.05,14.62,15.47,Scotland
East Renfrewshire,Male,75 to 79,11.52,11.12,11.93,Scotland
East Renfrewshire,Male,80 to 84,8.51,8.11,8.9,Scotland
East Renfrewshire,Male,85 to 89,6.02,5.62,6.43,Scotland
East Renfrewshire,Male,90+,4.25,3.7,4.81,Scotland
Inverclyde,Male,<1,74.62,73.79,75.45,Scotland
Inverclyde,Male,01 to 04,73.93,73.15,74.71,Scotland
Inverclyde,Male,05 to 09,69.93,69.15,70.71,Scotland
Inverclyde,Male,10 to 14,64.93,64.15,65.71,Scotland
Inverclyde,Male,15 to 19,60.03,59.26,60.79,Scotland
Inverclyde,Male,20 to 24,55.17,54.42,55.92,Scotland
Inverclyde,Male,25 to 29,50.38,49.64,51.11,Scotland
Inverclyde,Male,30 to 34,45.81,45.11,46.5,Scotland
Inverclyde,Male,35 to 39,41.17,40.5,41.84,Scotland
Inverclyde,Male,40 to 44,36.55,35.91,37.2,Scotland
Inverclyde,Male,45 to 49,32.33,31.74,32.91,Scotland
Inverclyde,Male,50 to 54,28.23,27.7,28.76,Scotland
Inverclyde,Male,55 to 59,24.14,23.65,24.63,Scotland
Inverclyde,Male,60 to 64,20.17,19.7,20.63,Scotland
Inverclyde,Male,65 to 69,16.34,15.9,16.78,Scotland
Inverclyde,Male,70 to 74,12.92,12.51,13.33,Scotland
Inverclyde,Male,75 to 79,9.83,9.45,10.22,Scotland
Inverclyde,Male,80 to 84,7.34,6.96,7.72,Scotland
Inverclyde,Male,85 to 89,5.17,4.76,5.58,Scotland
Inverclyde,Male,90+,4.07,3.42,4.71,Scotland
North Lanarkshire,Male,<1,74.5,74.12,74.87,Scotland
North Lanarkshire,Male,01 to 04,73.76,73.4,74.12,Scotland
North Lanarkshire,Male,05 to 09,69.8,69.45,70.16,Scotland
North Lanarkshire,Male,10 to 14,64.8,64.45,65.16,Scotland
North Lanarkshire,Male,15 to 19,59.86,59.51,60.22,Scotland
North Lanarkshire,Male,20 to 24,55.01,54.67,55.36,Scotland
North Lanarkshire,Male,25 to 29,50.25,49.91,50.58,Scotland
North Lanarkshire,Male,30 to 34,45.52,45.2,45.85,Scotland
North Lanarkshire,Male,35 to 39,40.85,40.54,41.17,Scotland
North Lanarkshire,Male,40 to 44,36.34,36.04,36.64,Scotland
North Lanarkshire,Male,45 to 49,31.94,31.66,32.23,Scotland
North Lanarkshire,Male,50 to 54,27.68,27.41,27.95,Scotland
North Lanarkshire,Male,55 to 59,23.66,23.4,23.91,Scotland
North Lanarkshire,Male,60 to 64,19.78,19.54,20.02,Scotland
North Lanarkshire,Male,65 to 69,16.1,15.87,16.33,Scotland
North Lanarkshire,Male,70 to 74,12.72,12.5,12.93,Scotland
North Lanarkshire,Male,75 to 79,9.77,9.56,9.98,Scotland
North Lanarkshire,Male,80 to 84,7.26,7.05,7.47,Scotland
North Lanarkshire,Male,85 to 89,5.32,5.08,5.55,Scotland
North Lanarkshire,Male,90+,3.93,3.56,4.29,Scotland
Shetland Islands,Male,<1,79.44,78.2,80.68,Scotland
Shetland Islands,Male,01 to 04,78.44,77.2,79.68,Scotland
Shetland Islands,Male,05 to 09,74.44,73.2,75.68,Scotland
Shetland Islands,Male,10 to 14,69.62,68.42,70.82,Scotland
Shetland Islands,Male,15 to 19,64.62,63.42,65.82,Scotland
Shetland Islands,Male,20 to 24,59.62,58.42,60.82,Scotland
Shetland Islands,Male,25 to 29,54.62,53.42,55.82,Scotland
Shetland Islands,Male,30 to 34,49.75,48.58,50.92,Scotland
Shetland Islands,Male,35 to 39,44.97,43.83,46.11,Scotland
Shetland Islands,Male,40 to 44,40.07,38.95,41.2,Scotland
Shetland Islands,Male,45 to 49,35.52,34.45,36.58,Scotland
Shetland Islands,Male,50 to 54,31.21,30.21,32.21,Scotland
Shetland Islands,Male,55 to 59,26.68,25.73,27.64,Scotland
Shetland Islands,Male,60 to 64,22.56,21.65,23.47,Scotland
Shetland Islands,Male,65 to 69,18.48,17.62,19.34,Scotland
Shetland Islands,Male,70 to 74,14.8,13.99,15.6,Scotland
Shetland Islands,Male,75 to 79,11.41,10.63,12.18,Scotland
Shetland Islands,Male,80 to 84,8.18,7.41,8.94,Scotland
Shetland Islands,Male,85 to 89,5.94,5.12,6.75,Scotland
Shetland Islands,Male,90+,3.85,2.75,4.95,Scotland
West Lothian,Male,<1,77.07,76.56,77.58,Scotland
West Lothian,Male,01 to 04,76.33,75.84,76.81,Scotland
West Lothian,Male,05 to 09,72.33,71.84,72.81,Scotland
West Lothian,Male,10 to 14,67.33,66.84,67.81,Scotland
West Lothian,Male,15 to 19,62.38,61.9,62.86,Scotland
West Lothian,Male,20 to 24,57.47,57,57.94,Scotland
West Lothian,Male,25 to 29,52.72,52.26,53.18,Scotland
West Lothian,Male,30 to 34,47.94,47.49,48.38,Scotland
West Lothian,Male,35 to 39,43.26,42.83,43.69,Scotland
West Lothian,Male,40 to 44,38.62,38.2,39.03,Scotland
West Lothian,Male,45 to 49,34.07,33.67,34.47,Scotland
West Lothian,Male,50 to 54,29.56,29.17,29.94,Scotland
West Lothian,Male,55 to 59,25.23,24.86,25.6,Scotland
